,x,y
266,42800.0,42574.0
267,42766.68,42594.01
268,42699.0,42594.05
269,42669.64,42521.76
270,42702.79,42506.76
271,42689.77,42631.94
272,42689.77,42510.0
273,42570.12,42397.68
274,42487.46,42222.0
275,42513.04,42268.26
276,42492.0,42330.3
277,42633.33,42419.95
278,42696.45,42581.3
279,42781.1,42621.1
280,42795.0,42686.0
281,42934.0,42677.35
282,42901.04,42800.98
283,42930.0,42765.06
284,42839.53,42750.01
285,42887.99,42706.18
286,42856.44,42708.0
287,42858.65,42764.86
288,43111.0,42791.1
289,43038.0,42600.0
290,42749.97,42106.64
291,42351.1,41880.0
292,42301.02,41957.25
293,42049.47,41735.29
294,41930.77,41650.0
295,41938.84,41759.92
296,42115.35,41871.11
297,42153.04,41947.91
298,42158.65,42073.89
299,42122.14,42012.94
300,42074.22,41933.9
301,42240.0,41919.51
302,42007.4,41871.24
303,41943.77,41300.0
304,41845.07,41639.67
305,42000.63,41761.02
306,42098.74,41951.1
307,42209.22,42011.23
308,42169.98,42094.56
309,42158.08,42079.08
310,42207.26,42128.0
311,42186.1,42103.63
312,42152.75,41844.86
313,42011.1,41820.0
314,42004.6,41824.87
315,42062.92,41969.49
316,42054.8,41973.92
317,42131.1,41976.01
318,42116.76,42044.82
319,42160.0,42035.82
320,42097.66,42035.82
321,42128.62,41992.02
322,42012.94,41930.43
323,41988.62,41830.0
324,41893.59,41540.85
325,41726.13,41574.0
326,41698.03,41520.3
327,41753.88,41678.07
328,41818.49,41715.53
329,41965.51,41807.04
330,41918.83,41843.13
331,42077.43,41882.71
332,42104.7,41921.68
333,42023.97,41886.43
334,42050.0,41915.69
335,42300.0,42029.35
336,42256.03,42071.06
337,42325.0,42183.09
338,42430.0,42187.14
339,42606.0,42371.11
340,42594.0,42385.53
341,42561.63,42247.44
342,42612.32,42451.26
343,42515.26,42376.23
344,42434.91,42329.62
345,42440.68,42339.24
346,42455.46,42353.99
347,42399.25,42348.83
348,42380.5,42199.98
349,42329.77,42223.99
350,42322.08,42240.0
351,42308.69,42218.87
352,42265.84,42079.97
353,42295.61,42102.88
354,42260.0,42133.95
355,42355.46,42140.28
356,42429.64,42239.41
357,42433.49,42288.2
358,42288.21,42156.59
359,42237.11,42168.01
360,42205.99,41965.84
361,42120.0,42026.0
362,42186.03,42046.44
363,42298.01,42156.09
364,42325.66,42185.43
365,42275.02,42210.0
366,42316.0,42194.65
367,42268.05,42192.0
368,42283.9,42212.56
369,42566.0,42252.67
370,42693.0,42450.98
371,42575.16,42398.54
372,42488.32,42369.15
373,42785.0,42441.48
374,42899.0,42681.81
375,42779.29,42617.87
376,42727.27,42634.04
377,42684.0,42573.17
378,42615.0,42506.0
379,42618.74,42464.87
380,42646.27,42352.76
381,42538.88,42378.01
382,42525.16,42431.8
383,42504.08,42409.07
384,42542.85,42461.99
385,42595.01,42450.0
386,42518.15,42361.1
387,42592.59,42436.47
388,42700.0,42561.1
389,42648.38,42504.04
390,42659.52,42472.5
391,42631.59,42538.37
392,42719.8,42624.0
393,42683.99,42586.91
394,42695.44,42598.46
395,42680.36,42561.1
396,42625.75,42504.56
397,42670.44,42550.05
398,42641.97,42520.72
399,42575.16,42426.83
400,42591.1,42056.0
401,42345.65,42066.0
402,42283.59,42154.34
403,42554.57,42261.02
404,42490.74,42354.19
405,42513.17,42431.65
406,42775.0,42493.16
407,42638.41,42531.1
408,42606.25,42500.0
409,42586.64,42419.39
410,42459.02,42230.08
411,42377.43,42209.46
412,42399.99,42283.86
413,42406.0,42297.9
414,42321.13,42180.77
415,42344.76,42208.68
416,42424.82,42309.15
417,42500.0,42396.68
418,42500.0,42432.56
419,42537.53,42452.58
420,42556.5,42461.1
421,42658.44,42537.18
422,42699.32,42588.0
423,42708.93,42628.0
424,42749.36,42666.41
425,42762.39,42653.33
426,42699.99,42605.21
427,42739.22,42611.45
428,42780.0,42643.68
429,42733.81,42612.76
430,42748.0,42670.0
431,42715.55,42580.0
432,42661.89,42586.5
433,42733.28,42586.51
434,42847.07,42601.1
435,42856.0,42664.42
436,42782.6,42703.39
437,42781.09,42718.72
438,42824.9,42704.42
439,43208.86,42812.7
440,43178.65,43018.86
441,43316.88,43103.64
442,43550.0,43234.16
443,43757.13,43510.71
444,43829.99,43636.39
445,43792.59,43632.0
446,43656.15,43480.76
447,43661.1,43361.6
448,43531.49,43439.17
449,44000.0,43529.93
450,44184.1,43929.75
451,44844.0,44148.34
452,45200.0,44553.92
453,45372.79,44832.01
454,45010.0,44686.0
455,45100.0,44855.95
456,45381.42,45073.9
457,45469.43,45131.1
458,45500.0,45312.1
459,45468.99,45240.38
460,45362.28,45170.0
461,45324.72,45121.96
462,45318.44,45133.17
463,45283.44,45130.0
464,45308.15,45168.74
465,45643.75,45168.74
466,45528.0,45278.9
467,45849.84,45326.6
468,45852.93,45576.13
469,45879.63,45658.28
470,45831.12,45631.1
471,45711.1,45553.3
472,45654.1,45431.52
473,45698.67,45494.17
474,45548.16,45200.0
475,45489.0,45316.0
476,45589.68,45271.04
477,45560.0,45264.39
478,45705.8,45518.66
479,45800.0,45554.35
480,45675.0,44970.0
481,45349.98,44833.33
482,45300.0,44887.46
483,45274.24,44890.11
484,45399.84,45072.96
485,45382.08,45151.05
486,45208.01,44950.48
487,45152.26,44944.0
488,45271.2,45057.14
489,45243.0,44790.96
490,45113.29,44810.89
491,45180.55,44929.92
492,44986.09,44742.96
493,44940.51,44600.0
494,45119.76,44777.0
495,45297.26,45042.0
496,45111.1,44840.01
497,45049.98,44928.0
498,44982.71,44802.01
499,45061.1,44862.11
500,45212.57,44875.01
501,45227.28,45106.56
502,45329.83,45102.72
503,45410.91,45211.73
504,45354.16,45223.12
505,45310.0,45196.45
506,45262.79,45151.91
507,45272.16,45187.22
508,45219.15,45115.59
509,45290.88,45118.91
510,45294.11,45167.57
511,45302.26,45160.0
512,45363.19,45218.31
513,45384.84,45280.29
514,45369.15,44940.93
515,45175.68,45001.1
516,45200.0,45025.17
517,45363.63,45185.39
518,45500.0,45292.59
519,45398.37,45224.01
520,45309.58,45045.95
521,45174.07,44336.0
522,44564.0,43500.0
523,43716.0,40750.0
524,42794.77,42048.0
525,42820.92,42315.99
526,42683.26,42310.0
527,42532.0,42050.0
528,42352.94,42064.56
529,42478.6,42175.14
530,43009.02,42345.18
531,43567.92,42881.1
532,43434.4,42773.34
533,43034.59,42600.0
534,42919.84,42637.04
535,43050.0,42732.74
536,42797.27,42000.0
537,42673.55,42161.1
538,43011.1,42550.0
539,42771.09,42518.7
540,42846.17,42643.07
541,42900.11,42581.1
542,42966.27,42757.78
543,42941.1,42654.65
544,42758.86,42596.24
545,42781.1,42591.09
546,42845.23,42695.19
547,42983.77,42754.0
548,42943.24,42816.07
549,42936.79,42613.77
550,42764.78,42633.64
551,42958.94,42690.02
552,43219.36,42863.35
